744-,-,-,-,-,-
-0.094870,-0.517768,0.098988,-0.013511,-0.023994,-0.075387
-0.091265,-0.500019,0.092833,-0.010429,-0.023176,-0.073337
-0.090477,-0.488578,0.083656,-0.009586,-0.020964,-0.067768
-0.090298,-0.482655,0.074452,-0.009829,-0.018747,-0.061142
-0.088393,-0.479957,0.067078,-0.010491,-0.015536,-0.054768
-0.085085,-0.478158,0.062748,-0.011995,-0.010098,-0.048355
-0.082068,-0.477322,0.061810,-0.015043,-0.002596,-0.041098
-0.081415,-0.479361,0.063856,-0.018991,0.005530,-0.033516
-0.084545,-0.484493,0.067778,-0.022294,0.011716,-0.027369
-0.090496,-0.490528,0.071865,-0.023986,0.013620,-0.023912
-0.096205,-0.494323,0.074749,-0.024299,0.010672,-0.022857
-0.098442,-0.493818,0.076086,-0.024389,0.004361,-0.023025
-0.095592,-0.490022,0.076234,-0.025560,-0.002292,-0.023518
-0.088897,-0.486431,0.075846,-0.028257,-0.006057,-0.024531
-0.081818,-0.486350,0.075662,-0.031668,-0.005498,-0.027241
-0.077399,-0.490631,0.076117,-0.034375,-0.001772,-0.032492
-0.076220,-0.497327,0.076928,-0.035333,0.002798,-0.039323
-0.076725,-0.503503,0.077313,-0.034571,0.006892,-0.045050
-0.077749,-0.507221,0.076847,-0.033091,0.010661,-0.047500
-0.079640,-0.507862,0.075698,-0.032142,0.014057,-0.046902
-0.082072,-0.505565,0.074071,-0.032650,0.016209,-0.045058
-0.083230,-0.501356,0.072259,-0.034894,0.016820,-0.043333
-0.082144,-0.497276,0.070958,-0.038323,0.016535,-0.042066
-0.079790,-0.495156,0.070750,-0.041728,0.015828,-0.041289
-0.077656,-0.495414,0.071563,-0.043861,0.014582,-0.041055
-0.076435,-0.497201,0.072743,-0.044146,0.012680,-0.041123
-0.076121,-0.499304,0.073668,-0.042862,0.010460,-0.040963
-0.076406,-0.501060,0.074080,-0.040731,0.008557,-0.040374
-0.076632,-0.502294,0.073665,-0.038457,0.007689,-0.039500
-0.076289,-0.502951,0.072264,-0.036637,0.008637,-0.038029
-0.075714,-0.503669,0.070464,-0.035613,0.011725,-0.035616
-0.075456,-0.505553,0.069367,-0.035120,0.016232,-0.032938
-0.075509,-0.508914,0.069745,-0.034372,0.020854,-0.031059
-0.076007,-0.512758,0.071329,-0.032554,0.024392,-0.030375
-0.077481,-0.515099,0.073193,-0.029329,0.025564,-0.030391
-0.079558,-0.514077,0.074636,-0.025138,0.023207,-0.029987
-0.080562,-0.509292,0.075394,-0.021015,0.017466,-0.028193
-0.079093,-0.502023,0.075407,-0.018072,0.010148,-0.024961
-0.075300,-0.494480,0.074737,-0.017024,0.003611,-0.021390
-0.070322,-0.488559,0.073806,-0.017946,-0.000290,-0.018982
-0.065208,-0.484932,0.073290,-0.020473,-0.000502,-0.018216
-0.060829,-0.483687,0.073674,-0.024009,0.003203,-0.018291
-0.058371,-0.485033,0.075080,-0.027631,0.009993,-0.018259
-0.059077,-0.488635,0.077286,-0.030263,0.017853,-0.017760
-0.063279,-0.493516,0.079791,-0.031105,0.024378,-0.016952
-0.070126,-0.498729,0.082033,-0.029806,0.027977,-0.016234
-0.078635,-0.503336,0.083609,-0.026469,0.028199,-0.016049
-0.087879,-0.506259,0.084178,-0.021629,0.025277,-0.017073
-0.095833,-0.506654,0.083495,-0.016189,0.020147,-0.020174
-0.100641,-0.504092,0.082397,-0.011308,0.014397,-0.026055
-0.102541,-0.498733,0.082583,-0.008142,0.008917,-0.034908
-0.102406,-0.491952,0.084240,-0.007149,0.003396,-0.046271
-0.100507,-0.485949,0.086506,-0.007501,-0.002493,-0.059293
-0.097678,-0.482670,0.089191,-0.007578,-0.008399,-0.071968
-0.096009,-0.483353,0.091752,-0.005909,-0.013777,-0.081259
-0.098019,-0.488327,0.093561,-0.001377,-0.019091,-0.085644
-0.104098,-0.495983,0.095209,0.006516,-0.026490,-0.086727
-0.110093,-0.502040,0.097206,0.016743,-0.037619,-0.087616
-0.110705,-0.501871,0.098697,0.026694,-0.050225,-0.089541
-0.105666,-0.493782,0.099041,0.033751,-0.059845,-0.091596
-0.098002,-0.479541,0.098769,0.036562,-0.064317,-0.093136
-0.089524,-0.462753,0.098498,0.034836,-0.063593,-0.094087
-0.081914,-0.447019,0.099030,0.029242,-0.058898,-0.094837
-0.075772,-0.434927,0.101103,0.021417,-0.053231,-0.097031
-0.068562,-0.427886,0.104108,0.013128,-0.048271,-0.101807
-0.059426,-0.426645,0.106887,0.005739,-0.042756,-0.108089
-0.052085,-0.431363,0.108946,0.000376,-0.036219,-0.115093
-0.049376,-0.439751,0.109858,-0.002192,-0.030471,-0.124521
-0.050221,-0.446997,0.109179,-0.002089,-0.026892,-0.138279
-0.052775,-0.449937,0.107031,-0.000546,-0.025840,-0.155361
-0.055598,-0.449137,0.103361,0.000670,-0.027472,-0.171898
-0.056970,-0.446046,0.097654,-0.000233,-0.031016,-0.183464
-0.055811,-0.441738,0.090140,-0.004727,-0.035047,-0.187589
-0.051663,-0.438379,0.082344,-0.012948,-0.038862,-0.184807
-0.043536,-0.437616,0.076263,-0.023364,-0.042249,-0.177355
-0.030487,-0.439075,0.073405,-0.034224,-0.044159,-0.167010
-0.013365,-0.442993,0.074440,-0.044456,-0.042491,-0.154312
0.004897,-0.450189,0.078697,-0.053039,-0.035382,-0.139440
0.019713,-0.458818,0.083917,-0.058882,-0.022812,-0.123157
0.026060,-0.464990,0.087491,-0.061720,-0.007992,-0.107339
0.022779,-0.465595,0.087692,-0.062903,0.003888,-0.094610
0.014647,-0.459575,0.083636,-0.065424,0.010637,-0.085876
0.006527,-0.448939,0.075795,-0.072561,0.014854,-0.079326
-0.001079,-0.438964,0.066773,-0.085584,0.018617,-0.073538
-0.006312,-0.436446,0.060023,-0.102716,0.020481,-0.068869
-0.002775,-0.445984,0.057404,-0.119973,0.020721,-0.065348
0.011340,-0.466419,0.058723,-0.132849,0.023953,-0.062581
0.028285,-0.491047,0.062925,-0.137994,0.032923,-0.061292
0.039304,-0.509947,0.067866,-0.134585,0.044544,-0.061875
0.041413,-0.513883,0.070371,-0.125037,0.053734,-0.061999
0.035818,-0.500054,0.068624,-0.114089,0.057223,-0.058523
0.026238,-0.473324,0.062696,-0.106843,0.054373,-0.050755
0.016549,-0.443389,0.053044,-0.107210,0.047575,-0.040059
0.007315,-0.422495,0.041370,-0.116400,0.039643,-0.029308
-0.000507,-0.422029,0.031295,-0.131521,0.030492,-0.023648
-0.001199,-0.447210,0.025736,-0.145949,0.020254,-0.027354
0.008402,-0.491804,0.025124,-0.152585,0.012675,-0.039722
0.022625,-0.540094,0.027903,-0.147784,0.010436,-0.057274
0.035065,-0.576544,0.031046,-0.132314,0.011024,-0.076000
0.045288,-0.592061,0.031648,-0.110491,0.010844,-0.090111
0.053840,-0.585881,0.029198,-0.089144,0.009099,-0.094991
0.059457,-0.566205,0.025251,-0.074770,0.006061,-0.090906
0.062302,-0.546322,0.021114,-0.070193,0.002098,-0.081251
0.063714,-0.537360,0.017577,-0.073974,-0.001269,-0.070618
0.064031,-0.544001,0.015644,-0.081878,-0.002514,-0.064330
0.063510,-0.564744,0.015715,-0.088655,-0.001384,-0.066262
0.062717,-0.593928,0.017314,-0.089977,0.001765,-0.076735
0.061416,-0.623465,0.019903,-0.084370,0.005975,-0.091658
0.058989,-0.644547,0.022687,-0.073511,0.009820,-0.103844
0.055410,-0.651701,0.024373,-0.060575,0.012438,-0.107147
0.051715,-0.645571,0.024395,-0.048906,0.013446,-0.099364
0.049953,-0.629539,0.023205,-0.041471,0.013497,-0.081574
0.050532,-0.606261,0.021072,-0.040046,0.015003,-0.056474
0.050517,-0.578975,0.018188,-0.044679,0.019044,-0.027432
0.047782,-0.552309,0.015515,-0.054032,0.023374,0.002496
0.043725,-0.530292,0.014146,-0.066072,0.025981,0.031374
0.039653,-0.514854,0.014358,-0.078534,0.027119,0.057320
0.035811,-0.505927,0.015668,-0.089399,0.027462,0.077419
-,-,-,-,-,-
0.000784,-0.007806,0.000305,-0.002128,0.001220,0.002454
0.003769,-0.045067,0.001699,-0.012463,0.007090,0.013823
0.008233,-0.123870,0.004355,-0.035621,0.019910,0.036543
0.011518,-0.225379,0.006858,-0.069486,0.037556,0.063453
0.012313,-0.318115,0.007453,-0.108333,0.055654,0.086582
0.010560,-0.381909,0.005735,-0.147115,0.070934,0.103695
0.006330,-0.413099,0.002550,-0.182813,0.082028,0.114534
0.001122,-0.420818,-0.000910,-0.214337,0.089190,0.118301
-0.002365,-0.420998,-0.003121,-0.240387,0.093906,0.114056
-0.002949,-0.425922,-0.002640,-0.258510,0.097028,0.101305
-0.000573,-0.435242,-0.000475,-0.268170,0.098120,0.082312
0.005425,-0.443077,0.000207,-0.272265,0.098830,0.062313
0.013101,-0.446841,-0.002685,-0.274853,0.102513,0.047161
0.016946,-0.445150,-0.009444,-0.279128,0.109268,0.039703
0.014865,-0.437923,-0.019439,-0.286592,0.116469,0.036566
0.011217,-0.429004,-0.031213,-0.297419,0.122800,0.032947
0.010595,-0.424218,-0.042665,-0.311257,0.129030,0.028857
0.012933,-0.428466,-0.051531,-0.326706,0.136385,0.025775
0.016548,-0.445889,-0.056102,-0.340277,0.144483,0.022331
0.022367,-0.477534,-0.057353,-0.347189,0.152627,0.017663
0.028770,-0.516252,-0.058331,-0.344343,0.162273,0.014271
0.028301,-0.549019,-0.059807,-0.332275,0.171894,0.013363
0.021618,-0.564781,-0.061396,-0.314294,0.174085,0.011997
0.023806,-0.560262,-0.065289,-0.295492,0.168543,0.009408
0.041150,-0.543925,-0.072972,-0.281236,0.168756,0.010054
0.056575,-0.532799,-0.082096,-0.273377,0.184141,0.015893
0.052034,-0.540366,-0.089730,-0.268696,0.206897,0.022234
0.029152,-0.568782,-0.094205,-0.261145,0.222179,0.022893
0.003149,-0.609303,-0.095072,-0.244716,0.221563,0.014837
-0.009220,-0.644466,-0.095344,-0.217625,0.208303,0.000535
-0.002531,-0.658021,-0.099579,-0.184674,0.195020,-0.011521
0.009027,-0.647063,-0.108613,-0.153085,0.191136,-0.012756
0.007796,-0.619400,-0.120232,-0.128103,0.192732,-0.001825
-0.007299,-0.586365,-0.130974,-0.112600,0.189039,0.015607
-0.023611,-0.562371,-0.136666,-0.106279,0.174780,0.032203
-0.028863,-0.560333,-0.135671,-0.104319,0.154071,0.043025
-0.020871,-0.580204,-0.129087,-0.099036,0.134792,0.047561
-0.006302,-0.607796,-0.118676,-0.085604,0.122470,0.049924
0.006443,-0.629275,-0.107175,-0.065430,0.119247,0.053152
0.013031,-0.638499,-0.097773,-0.041732,0.123038,0.055796
0.016632,-0.631705,-0.092112,-0.016414,0.129448,0.056978
0.022690,-0.608630,-0.090733,0.007654,0.137911,0.057389
0.029246,-0.575808,-0.093647,0.026476,0.150924,0.056565
0.029046,-0.542247,-0.098750,0.037707,0.166898,0.052296
0.019548,-0.514525,-0.103257,0.042088,0.180395,0.041889
0.003261,-0.494514,-0.106052,0.042003,0.188080,0.025536
-0.016571,-0.482079,-0.106486,0.039645,0.188691,0.006025
-0.034112,-0.478280,-0.103784,0.037038,0.181443,-0.013537
-0.042959,-0.482694,-0.098671,0.036322,0.169170,-0.029111
-0.044031,-0.491988,-0.093212,0.038742,0.157457,-0.036928
-0.044221,-0.501983,-0.088935,0.043889,0.148097,-0.036092
-0.046598,-0.508215,-0.086642,0.050266,0.138520,-0.027785
-0.049021,-0.506889,-0.086964,0.055755,0.127586,-0.013252
-0.050772,-0.497540,-0.089422,0.058054,0.116310,0.005912
-0.052139,-0.483283,-0.092202,0.055696,0.104555,0.025649
-0.050240,-0.469104,-0.093397,0.048667,0.092400,0.040546
-0.042708,-0.462457,-0.091773,0.038695,0.082509,0.047847
-0.032448,-0.470606,-0.087071,0.029592,0.076938,0.047349
-0.024094,-0.492417,-0.080221,0.026261,0.073722,0.039848
