-0-,-,-,-,-,-
-0.434977,-0.013342,-0.187767,-0.008553,-0.011063,0.021030
-0.433821,-0.014025,-0.186215,-0.024632,-0.012265,0.029500
-0.435064,-0.012134,-0.187354,-0.043096,-0.013843,0.038927
-0.443232,-0.003564,-0.192127,-0.058381,-0.015585,0.043982
-0.455978,0.009591,-0.198402,-0.064444,-0.015939,0.040410
-0.464465,0.019242,-0.202204,-0.060069,-0.012901,0.029240
-0.464302,0.021169,-0.201841,-0.050070,-0.006083,0.014643
-0.457783,0.017029,-0.197978,-0.042235,0.002107,0.000019
-0.448890,0.009937,-0.193066,-0.042017,0.008804,-0.012691
-0.440441,0.002240,-0.190720,-0.047955,0.013389,-0.021777
-0.434107,-0.004360,-0.192069,-0.053895,0.016182,-0.025761
-0.430770,-0.008668,-0.194893,-0.054924,0.016823,-0.024588
-0.430129,-0.010522,-0.196955,-0.050227,0.015392,-0.019906
-0.431079,-0.010606,-0.197535,-0.042389,0.012936,-0.014186
-0.432542,-0.009790,-0.196895,-0.034693,0.010391,-0.009436
-0.433808,-0.008722,-0.195755,-0.028854,0.008023,-0.006442
-0.434662,-0.007688,-0.194944,-0.025010,0.005467,-0.004984
-0.435171,-0.006808,-0.195141,-0.022733,0.001546,-0.004490
-0.435283,-0.006245,-0.196165,-0.021545,-0.004968,-0.004478
-0.434905,-0.006049,-0.196861,-0.021065,-0.013329,-0.004693
-0.434210,-0.005982,-0.196402,-0.021065,-0.020386,-0.005003
-0.433543,-0.005730,-0.195056,-0.021354,-0.023032,-0.005274
-0.433156,-0.005234,-0.193667,-0.021704,-0.020719,-0.005407
-0.433117,-0.004675,-0.192851,-0.021919,-0.015451,-0.005370
-0.433339,-0.004281,-0.192605,-0.021903,-0.009698,-0.005173
-0.433653,-0.004175,-0.192502,-0.021685,-0.004550,-0.004879
-0.433952,-0.004341,-0.192177,-0.021430,0.000240,-0.004616
-0.434267,-0.004851,-0.191708,-0.021327,0.005019,-0.004522
-0.434570,-0.005777,-0.191462,-0.021450,0.009700,-0.004665
-0.434733,-0.006834,-0.191548,-0.021749,0.014184,-0.004982
-0.434708,-0.007551,-0.191757,-0.022100,0.018394,-0.005332
-0.434501,-0.007707,-0.192124,-0.022397,0.021692,-0.005615
-0.434185,-0.007399,-0.192967,-0.022607,0.022867,-0.005819
-0.433966,-0.006854,-0.194304,-0.022760,0.021046,-0.005969
-0.433930,-0.006402,-0.195663,-0.022884,0.016522,-0.006065
-0.433940,-0.006344,-0.196409,-0.023032,0.010624,-0.006120
-0.433916,-0.006633,-0.196258,-0.023361,0.005008,-0.006216
-0.433900,-0.006974,-0.195666,-0.023966,0.001015,-0.006416
-0.433907,-0.007152,-0.195318,-0.024607,-0.000959,-0.006631
-0.433908,-0.007093,-0.195346,-0.024907,-0.001498,-0.006711
-0.433895,-0.006844,-0.195395,-0.024728,-0.001428,-0.006599
-0.433923,-0.006476,-0.195065,-0.024189,-0.001408,-0.006343
-0.433999,-0.006011,-0.194297,-0.023520,-0.001894,-0.006024
-0.434061,-0.005575,-0.193388,-0.022944,-0.002821,-0.005704
-0.434077,-0.005363,-0.192584,-0.022587,-0.003557,-0.005437
-0.433952,-0.005449,-0.192061,-0.022436,-0.003582,-0.005274
-0.433609,-0.005755,-0.191977,-0.022386,-0.002974,-0.005225
-0.433230,-0.006105,-0.192317,-0.022356,-0.002083,-0.005260
-0.433093,-0.006341,-0.193080,-0.022330,-0.001386,-0.005332
-0.433232,-0.006421,-0.194275,-0.022320,-0.001693,-0.005376
-0.433478,-0.006399,-0.195637,-0.022336,-0.003775,-0.005365
-0.433749,-0.006475,-0.196748,-0.022382,-0.007700,-0.005333
-0.434022,-0.006780,-0.197238,-0.022469,-0.012726,-0.005299
-0.434298,-0.007053,-0.196680,-0.023263,-0.017629,-0.005620
-0.434586,-0.007023,-0.195086,-0.026176,-0.021182,-0.007114
-0.434666,-0.006848,-0.193349,-0.031122,-0.022639,-0.009779
-0.434452,-0.006715,-0.192141,-0.035712,-0.021983,-0.012307
-0.434274,-0.006545,-0.191351,-0.037808,-0.019653,-0.013490
-0.434398,-0.006310,-0.190943,-0.036921,-0.016200,-0.013018
-0.434848,-0.006063,-0.191044,-0.033734,-0.012487,-0.011275
-0.435507,-0.005834,-0.191531,-0.029567,-0.009711,-0.009037
-0.436117,-0.005694,-0.191927,-0.025688,-0.008541,-0.007034
-0.436389,-0.005764,-0.191764,-0.022851,-0.008319,-0.005650
-0.436265,-0.006037,-0.191189,-0.021289,-0.007587,-0.004936
-0.435990,-0.006293,-0.190717,-0.020817,-0.005427,-0.004756
-0.435842,-0.006380,-0.190640,-0.021020,-0.002035,-0.004927
-0.435806,-0.006308,-0.190987,-0.021505,0.001754,-0.005267
-0.435698,-0.006067,-0.191569,-0.022020,0.005179,-0.005611
-0.435535,-0.005742,-0.192152,-0.022430,0.007859,-0.005848
-0.435430,-0.005501,-0.192737,-0.022670,0.009678,-0.005931
-0.435373,-0.005390,-0.193408,-0.022739,0.010552,-0.005872
-0.435354,-0.005413,-0.193999,-0.022695,0.010365,-0.005724
-0.435365,-0.005603,-0.194234,-0.022598,0.009147,-0.005568
-0.435400,-0.006001,-0.194038,-0.022494,0.007193,-0.005469
-0.435469,-0.006621,-0.193550,-0.022427,0.005275,-0.005447
-0.435448,-0.007289,-0.193184,-0.022431,0.004545,-0.005475
-0.435112,-0.007713,-0.193325,-0.022503,0.005385,-0.005522
-0.434388,-0.007749,-0.193820,-0.022589,0.006799,-0.005571
-0.433544,-0.007421,-0.194319,-0.022617,0.007468,-0.005613
-0.433006,-0.006821,-0.194688,-0.022585,0.006816,-0.005641
-0.432943,-0.006216,-0.194722,-0.022541,0.005004,-0.005654
-0.433240,-0.005831,-0.194097,-0.022518,0.002693,-0.005641
-0.433746,-0.005565,-0.192998,-0.022526,0.000888,-0.005591
-0.434313,-0.005326,-0.192256,-0.022594,0.000183,-0.005495
-0.434773,-0.005281,-0.192392,-0.022716,0.000243,-0.005377
-0.435012,-0.005512,-0.193085,-0.022824,0.000440,-0.005274
-0.435029,-0.005827,-0.193716,-0.022862,0.000466,-0.005222
-0.434978,-0.006083,-0.193833,-0.022826,0.000312,-0.005228
-0.435029,-0.006279,-0.193314,-0.022724,0.000110,-0.005260
-0.435207,-0.006295,-0.192439,-0.022562,-0.000127,-0.005279
-0.435508,-0.006080,-0.191620,-0.022346,-0.000716,-0.005258
-0.435877,-0.005906,-0.191102,-0.022117,-0.002027,-0.005187
-0.436145,-0.005933,-0.190861,-0.021958,-0.003719,-0.005083
-0.436236,-0.005978,-0.190694,-0.021941,-0.004529,-0.004994
-0.436075,-0.005823,-0.190624,-0.022065,-0.003689,-0.004938
-0.435572,-0.005500,-0.190902,-0.022255,-0.002112,-0.004925
-0.434908,-0.005234,-0.191524,-0.022439,-0.001324,-0.004983
-0.434345,-0.005202,-0.192273,-0.022589,-0.001934,-0.005098
-0.433909,-0.005429,-0.192960,-0.022699,-0.003646,-0.005222
-0.433641,-0.005842,-0.193446,-0.022745,-0.005762,-0.005331
-0.433712,-0.006261,-0.193804,-0.022727,-0.007470,-0.005421
-0.434142,-0.006457,-0.194249,-0.022681,-0.008198,-0.005498
-0.434764,-0.006327,-0.194619,-0.022640,-0.007707,-0.005569
-0.435367,-0.005952,-0.194421,-0.022619,-0.006101,-0.005630
-0.435776,-0.005574,-0.193547,-0.022617,-0.003965,-0.005679
-0.435895,-0.005517,-0.192473,-0.022629,-0.002169,-0.005727
-0.435779,-0.005951,-0.191716,-0.022637,-0.001416,-0.005778
-0.435675,-0.006740,-0.191339,-0.022613,-0.001709,-0.005810
-0.435746,-0.007610,-0.191087,-0.022547,-0.002009,-0.005824
-,-,-,-,-,-
